index,Genre,Year,Movies Released,Gross,Tickets Sold,Inflation-Adjusted Gross,Top Movie,Top Movie Gross (That Year),Top Movie Inflation-Adjusted Gross (That Year)
153,Romantic Comedy,2004,33,651589511,104925831,941184704,50 First Dates,120776832,174455397.08201
154,Romantic Comedy,2005,15,440435727,68710713,616335096,Hitch,177784257,248786986.132448
155,Romantic Comedy,2006,19,342785466,52333650,469432841,The Break-Up,118703275,162560029.949619
156,Romantic Comedy,2007,35,733929251,105730830,948405545,Knocked Up,148761765,192234445.783095
157,Romantic Comedy,2008,25,330849160,38856854,348545980,What Happens in Vegas...,80277646,84571624.1116135
158,Romantic Comedy,2009,26,642370662,75508553,677311720,The Proposal,163958031,172876350.919686
159,Romantic Comedy,2010,30,517406269,59285340,531789500,Valentine's Day,110485654,113557013.546415
160,Romantic Comedy,2011,33,577791604,69473969,623181502,Just Go With It,103028109,111121745.747693
161,Romantic Comedy,2012,31,340203356,42739101,383369736,Think Like a Man,91547205,103163085.235373
162,Romantic Comedy,2013,25,197247886,24261722,217627646,Warm Bodies,66380662,73239148.4843678
163,Romantic Comedy,2014,30,264693693,32398230,290612123,Think Like a Man Too,65028687,71396203.5543193
164,Romantic Comedy,2015,23,74106836,8790834,78853781,Focus,53862963,57313178.0772978
165,Romantic Comedy,2016,30,137209258,15669133,140552123,How to be Single,46843513,47984773.7455741
166,Romantic Comedy,2017,15,85994969,9586948,85994924,The Big Sick,42872467,42872444.56542
167,Romantic Comedy,2018,15,241016524,26869172,241016473,Crazy Rich Asians,174519335,174519298.071054
168,Musical,1996,2,2562599,579772,5200555,Evita,2278112,4623215.24052729
169,Musical,1997,5,114425007,24929194,223614870,Anastasia,53147865,103864122.313338
170,Musical,1998,8,67210342,14330561,128545132,Grease,28350476,54222543.3056542
171,Musical,1999,8,23577029,4641144,41631062,The King and I,12064440,21302745.5509886
172,Musical,2000,9,93372793,17323334,155390306,Fantasia 2000 (Theatrical Release),67320333,112033996.293673
173,Musical,2001,7,69839373,12339107,110681790,Moulin Rouge,57065562,90437790.0058751
174,Musical,2002,8,57571456,9909026,88883963,Eight Crazy Nights,23443124,36193591.5989412
175,Musical,2003,6,169169167,28054586,251649636,Chicago,161445985,240160923.408173
176,Musical,2004,5,22364844,3601422,32304755,The Phantom of the Opera,16178431,23368830.5511724
177,Musical,2005,7,81788548,12759520,114452894,The Phantom of the Opera,35047365,49044425.5267169
178,Musical,2006,7,68195041,10411454,93390742,Dreamgirls,37064395,50758402.6649546
179,Musical,2007,11,255937558,36163584,324387348,Hairspray,118871849,150663795.303409
180,Musical,2008,11,260176422,29103388,261057390,Mamma Mia!,144130063,144618093.284854
181,Musical,2009,10,39330920,4692206,42089088,Fame,22455510,24030252.4445113
182,Musical,2010,9,174481691,22108696,198315003,Tangled,167821986,190745616.152104
183,Musical,2011,4,84688775,9924084,89019033,Footloose,51670512,54312499.0632453
184,Musical,2012,6,391900843,49233771,441626926,Beauty and the Beast,218813467,246577471.124788
185,Musical,2013,6,357193074,43935184,394098600,Frozen,296691729,327346198.852891
186,Musical,2014,7,252182790,30866923,276876299,Frozen,104046280,114234396.927394
187,Musical,2015,8,68944880,7956106,71366271,Into the Woods,37130717,38434772.993242
188,Musical,2016,8,248894081,28773877,258101677,Moana,210046114,217816567.002785
189,Musical,2017,9,890162292,99237710,890162259,Beauty and the Beast,504014165,504014146.315242
190,Musical,2018,9,417625409,46558012,417625368,Mary Poppins Returns,138817262,138817248.37174
191,Documentary,1995,9,81994311,18849263,169077889,The Living Sea,64800000,133622041.256009
192,Documentary,1996,7,6791655,1536569,13783024,Snowriders,2035470,4130794.6091608
193,Documentary,1997,9,10372500,2259800,20270406,When We Were Kings,2666118,5210247.70343774
194,Documentary,1998,12,85954501,18327179,164394796,Everest,66877098,127907750.66895
195,Documentary,1999,25,88124882,17347407,155606241,Mysteries of Egypt,27042366,47749975.0979094
196,Documentary,2000,42,127001363,23562383,211354576,Dolphins,54000000,89866335.5605089
197,Documentary,2001,25,21807044,3852823,34559822,Shackleton's Antarctic Adventure,6683025,10591263.7412732
198,Documentary,2002,31,71658170,12333577,110632186,Space Station,30460417,47027471.1059683
199,Documentary,2003,53,91130211,15112777,135561610,Space Station,15713110,23374185.8636441
200,Documentary,2004,89,235480966,37919594,340138758,Fahrenheit 9/11,119114517,172054092.3556
201,Documentary,2005,99,165886230,25878321,232128539,La marche de l'empereur,77437223,108359744.14035
202,Documentary,2006,111,102355386,15626720,140171678,An Inconvenient Truth,24146161,33067218.4131879
203,Documentary,2007,109,70753270,10283847,92246108,Sicko,24538513,31992617.7314123
204,Documentary,2008,126,87432868,11212195,100573389,Sea Monsters: A Prehistoric Adventure,14144251,16270028.5427745
205,Documentary,2009,93,187444087,23688746,212488052,Michael Jackson's This Is It,72091016,81722927.6298314
206,Documentary,2010,116,93857579,11330455,101634181,Hubble 3D,20149829,21819350.0143984
207,Documentary,2011,135,82415597,9786934,87788798,African Cats,15428747,16434645.9053874
208,Documentary,2012,149,132328422,16624104,149118213,2016: Obama’s America,33349941,37581371.6389321
209,Documentary,2013,160,49307450,6064807,54401319,Justin Bieber’s Believe,5962982,6579007.55308291
210,Documentary,2014,152,88025980,10774221,96644762,Bears,17780194,19521084.7688811
211,Documentary,2015,143,65083771,7648965,68611216,Monkey Kingdom,16432322,17322929.768829
212,Documentary,2016,158,50780120,5860728,52570730,Hillary’s America: The Secret History of the Democratic Party,13099931,13561861.1302933
213,Documentary,2017,148,44877018,5002945,44876417,Born in China,13873211,13873025.2078021
214,Documentary,2018,142,107099307,11939660,107098750,Won’t You Be My Neighbor?,22835787,22835668.2360816
215,Dark Comedy,1995,3,24185598,5559905,49872348,To Die For,21155211,43623483.9016769
216,Dark Comedy,1996,3,2567371,580852,5210242,Faithful,2104439,4270764.32048115
217,Dark Comedy,1997,5,37327594,8132372,72947377,Grosse Pointe Blank,28084357,54883799.3116189
218,Dark Comedy,1998,6,46315475,9875365,88582024,Dead Man on Campus,15064948,28812909.4065159
219,Dark Comedy,1999,9,101746444,20028824,179658551,Being John Malkovich,18243969,32214246.5738549
220,Dark Comedy,2000,7,51210561,9501029,85224230,Nurse Betty,25170054,41887814.3359613
221,Dark Comedy,2001,3,57007068,10071918,90345104,Snatch,30033056,47596546.5853782
222,Dark Comedy,2002,4,47766617,8221446,73746371,The Royal Tenenbaums,31656156,48873601.9301906
223,Dark Comedy,2003,2,56947540,9444035,84712994,Bad Santa,56909596,84656549.9491361
224,Dark Comedy,2004,3,5277208,849791,7622625,Bad Santa,3150732,4551052.09260275
225,Dark Comedy,2005,6,9517330,1484760,13318297,The Ice Harvest,9016782,12617843.5191649
226,Dark Comedy,2006,5,32291174,4929948,44221634,Thank You For Smoking,24793509,33953843.8761535
227,Dark Comedy,2007,3,2456085,356987,3202173,You Kill Me,2426851,3164058.55140315
228,Dark Comedy,2008,6,61625210,6905436,61941761,Burn After Reading,60355347,60665375.0785769
229,Dark Comedy,2009,9,54671157,7289484,65386671,The Men Who Stare at Goats,32018431,38294024.2829176
230,Dark Comedy,2010,11,53218987,6745113,60503664,Kick-Ass,48071303,54651359.0112903
231,Dark Comedy,2011,11,35839668,4514637,40496294,50/50,35016118,39565740.6554852
232,Dark Comedy,2012,14,92522208,11623385,104261763,Dark Shadows,79727149,89843220.2753277
233,Dark Comedy,2013,12,188672454,23206939,208166243,American Hustle,87923123,97007410.4603361
234,Dark Comedy,2014,13,181517016,22217499,199290966,American Hustle,62194684,68284720.2293406
235,Dark Comedy,2015,13,74779827,8445027,75751892,Krampus,41465710,42004723.8892826
236,Dark Comedy,2016,6,49182952,5536337,49660943,The Nice Guys,36261763,36614177.7220389
237,Dark Comedy,2017,10,61215946,6824518,61215926,"Three Billboards Outside Ebbing, Missouri",24164629,24164621.1051195
238,Dark Comedy,2018,10,141282717,15750577,141282676,"Three Billboards Outside Ebbing, Missouri",30349111,30349102.1927405
239,Western,1995,6,36538078,8399556,75344017,The Quick and the Dead,18552460,38256441.9954388
240,Western,1996,2,1118960,253157,2270818,Dead Man,1025488,2081125.87508401
241,Western,1999,1,491069,96667,867103,Ride With the Devil,491069,867103.0
242,Western,2000,4,64719710,12007366,107706073,Shanghai Noon,56932305,94746329.9571068
243,Western,2001,4,22389813,3955796,35483490,American Outlaws,13264986,21022417.5646818
244,Western,2003,2,84453058,14005482,125629174,Open Range,58331254,86771366.6259924
245,Western,2004,4,90475689,14569352,130687087,Hidalgo,67286731,97191930.3995861
246,Western,2005,1,14873,2320,20810,Major Dundee,14873,20810.0
247,Western,2006,2,584825,89285,800886,Down in the Valley,568932,779121.401704783
248,Western,2007,4,57964064,8293652,74394058,3:10 to Yuma,53606916,68801870.3813647
249,Western,2008,4,20317697,2270814,20369202,Appaloosa,20080574,20131477.8974186
250,Western,2009,2,169906,19795,177561,Appaloosa,130820,136714.00668605
251,Western,2010,3,92697737,10426173,93522772,True Grit,86670382,87441771.9058115
252,Western,2011,2,84669662,9440622,84682379,True Grit,84572623,84585325.4251814
253,Western,2012,2,106297399,13353944,119784878,Django Unchained,106280122,119765408.818659
254,Western,2013,4,145859175,17940856,160929478,The Lone Ranger,89302115,98528890.9747773
255,Western,2014,2,2323054,284339,2550521,The Homesman,2272797,2495342.97404925
256,Western,2015,6,29521197,3501919,31412213,The Hateful Eight,29045855,30906422.3929374
257,Western,2016,7,147170965,16628696,149159403,The Magnificent Seven,93420253,94682461.0791195
258,Western,2017,8,61575125,6864560,61575103,The Dark Tower,50701325,50701306.8850688
259,Western,2018,7,33408750,3724495,33408720,Hostiles,29733369,29733342.3003758
260,Concert or Performance,1999,1,148443,29221,262112,Stop Making Sense,148443,262112.0
261,Concert or Performance,2000,2,38847717,7207367,64650082,The Original Kings of Comedy,38168022,63518938.631009
262,Concert or Performance,2001,3,3215111,568039,5095310,N'sync: Bigger than Live,1688717,2676279.79788878
263,Concert or Performance,2002,3,20338177,3500545,31399889,Martin Lawrence Live: RunTelDat,19184820,29619233.7437608
264,Concert or Performance,2003,1,70000,11608,104124,Concert for George,70000,104124.0
265,Concert or Performance,2004,1,1174079,189062,1695886,Festival Express,1174079,1695886.0
266,Concert or Performance,2005,3,1154117,180048,1615031,Sarah Silverman: Jesus is Magic,1149330,1608332.23947832
267,Concert or Performance,2006,4,2484609,379327,3402563,Neil Young: Heart of Gold,1828069,2503460.27920168
268,Concert or Performance,2007,3,192068,27915,250398,Aida at La Scala,118108,153976.752941666
269,Concert or Performance,2008,11,75628951,8718895,78208488,Hannah Montana/Miley Cyrus: Best of Both Worlds Concert Tour,65281781,67508398.8135328
270,Concert or Performance,2009,3,19953639,2241766,20108641,Jonas Brothers: The 3D Concert Experience,19162740,19311598.2120524
271,Concert or Performance,2010,3,3128252,387512,3475983,U2 3D,2054521,2282897.94720598
272,Concert or Performance,2011,6,95445317,10795027,96831392,Justin Bieber: Never Say Never,73013910,74074231.852179
273,Concert or Performance,2012,4,28347099,3561192,31943892,Katy Perry: Part of Me,25326071,28539543.916234
274,Concert or Performance,2013,4,64881892,7980550,71585534,Kevin Hart: Let Me Explain,32244051,35575528.6722871
275,Concert or Performance,2014,3,3148116,385326,3456374,The Fluffy Movie,2827393,3104246.36607482
276,Concert or Performance,2015,1,1150000,136417,1223660,The Met: Live in HD - Tannhauser,1150000,1223660.0
277,Concert or Performance,2016,4,27211033,3145782,28217665,Kevin Hart: What Now?,23591043,24463758.8133679
278,Concert or Performance,2017,3,2984320,332699,2984310,Mayweather vs. McGregor,2620183,2620174.22016741
279,Multiple Genres,2000,1,332235,61639,552902,Under Suspicion,332235,552902.0
280,Multiple Genres,2001,1,2010,355,3184,Under Suspicion,2010,3184.0
281,Multiple Genres,2002,1,391835,67441,604946,Kurosawa & Mifune Festival,391835,604946.0
282,Multiple Genres,2003,2,498239,82626,741155,The Animation Show,306362,455728.532110092
283,Multiple Genres,2004,2,55134,8877,79627,The Animation Show,36709,53016.787154932
284,Multiple Genres,2006,3,748135,114218,1024535,Viva Pedro,579539,793650.864302566
285,Multiple Genres,2007,2,335887,48819,437906,2006 Academy Award Nominated Short Films,335090,436866.927091552
286,Multiple Genres,2008,1,508695,70848,635507,A Collection of 2007 Academy Award Nominated Short Films - Live Action & Animation,508695,635507.0
287,Multiple Genres,2009,1,644635,85951,770980,2009 Oscar Shorts,644635,770980.0
288,Multiple Genres,2010,3,1173911,148783,1334584,2010 Oscar Shorts,1018169,1157525.61880415
289,Multiple Genres,2011,4,1510823,190518,1708946,2011 Oscar Shorts,1352152,1529467.54966796
290,Multiple Genres,2012,2,1900200,238718,2141300,2012 Oscar Shorts,1702415,1918419.76607726
291,Multiple Genres,2013,1,2142342,263510,2363685,2013 Oscar Shorts,2142342,2363685.0
292,Multiple Genres,2014,2,5136187,628663,5639107,Saving Christmas,2778297,3050339.49518952
293,Multiple Genres,2015,1,2412493,286179,2567026,2015 Oscar Shorts,2412493,2567026.0
294,Multiple Genres,2016,4,2862219,330890,2968083,2016 Oscar Shorts,2816816,2921000.69342283
295,Multiple Genres,2017,5,4614134,514394,4614114,2017 Oscar Shorts,2835355,2835342.71013152
296,Multiple Genres,2018,3,4787450,533717,4787441,2018 Oscar Shorts,3508777,3508770.4037968
297,Reality,2014,1,16826,2059,18469,The Principle,16826,18469.0
298,Reality,2015,3,604870,71751,643606,Benpao Ba! Xiongdi,309297,329104.443900342
299,Reality,2018,1,2027,225,2018,The Cage Fighter,2027,2018.0
